label,UKB_DIFF,ENIGMA_DIFF,SCZ,OCD,BD,MDD,CHR,PD,EPI,LIFE_AGE,young_age_r,middle_age_r,old_age_r,PC1
L_parsopercularis,-0.353206014,-0.205076665,-0.375,-0.083,-0.293,-0.063,-0.05,-0.026,-0.153,0.46,-0.424,-0.325,-0.164,0.635803715
L_parsorbitalis,-0.109304254,-0.117745557,-0.319,-0.05,-0.246,-0.073,-0.06,-0.129,-0.149,0.32,-0.386,-0.214,-0.093,0.479141962
L_parstriangularis,-0.295114357,-0.186733996,-0.341,-0.032,-0.27,-0.054,0.01,-0.066,-0.192,0.44,-0.447,-0.29,-0.109,0.568801641
L_pericalcarine,-0.111637912,-0.097430491,-0.077,0.011,0.02,0.094,0.02,-0.073,-0.13,0.19,-0.274,-0.142,-0.122,0.378330641
L_postcentral,-0.206660624,-0.184472838,-0.261,-0.023,-0.096,0.036,-0.1,-0.142,-0.125,0.36,-0.382,-0.226,-0.226,0.62577107
L_posteriorcingulate,-0.248684167,-0.341977144,-0.298,-0.071,-0.112,-0.099,-0.11,-0.098,-0.083,0.43,-0.487,-0.254,-0.083,0.400723901
L_precentral,-0.336061917,-0.34605902,-0.343,-0.023,-0.211,-0.02,-0.13,-0.129,-0.384,0.41,-0.278,-0.29,-0.321,0.651986789
L_precuneus,-0.242537185,-0.423442384,-0.301,-0.097,-0.209,-0.024,-0.11,-0.203,-0.248,0.51,-0.543,-0.262,-0.294,0.723547057
L_rostralanteriorcingulate,-0.285908721,-0.1747464,-0.182,-0.074,-0.153,-0.13,-0.11,0.007,-0.012,0.23,-0.326,-0.129,0.032,0.344703925
L_rostralmiddlefrontal,-0.335307175,-0.231942869,-0.362,-0.095,-0.276,-0.037,-0.13,-0.119,-0.145,0.44,-0.5,-0.227,-0.092,0.692416998
L_superiorfrontal,-0.50618061,-0.480579199,-0.425,-0.069,-0.233,-0.066,-0.11,-0.129,-0.283,0.52,-0.503,-0.31,-0.239,0.716509346
L_superiorparietal,-0.268280792,-0.341026344,-0.209,-0.062,-0.161,-0.005,-0.1,-0.19,-0.287,0.39,-0.484,-0.176,-0.266,0.691501474
L_superiortemporal,-0.263496468,-0.276295113,-0.44,-0.007,-0.209,0.012,-0.12,-0.121,-0.18,0.4,-0.312,-0.285,-0.37,0.651436861
L_supramarginal,-0.279117291,-0.280356522,-0.395,-0.052,-0.253,-0.045,-0.11,-0.164,-0.232,0.47,-0.47,-0.279,-0.269,0.750040696
L_frontalpole,-0.202237228,-0.080403713,-0.214,-0.048,-0.118,-0.011,-0.05,-0.014,-0.078,0.15,-0.244,-0.096,-0.02,0.345912304
L_temporalpole,-0.129349623,-0.119249908,-0.246,0.034,-0.116,0.012,-0.06,-0.117,-0.205,0.02,0.003,-0.035,-0.135,0.317529169
L_transversetemporal,-0.000134533,-0.046500833,-0.253,-0.004,-0.12,-0.035,-0.07,-0.083,-0.192,0.27,-0.262,-0.206,-0.169,0.480945006
L_insula,-0.150402158,-0.300331737,-0.408,-0.065,-0.198,-0.111,-0.17,-0.039,0.014,0.38,-0.381,-0.251,-0.165,0.47850524
R_bankssts,-0.175385417,-0.207690054,-0.355,0.005,-0.125,-0.074,-0.13,-0.157,-0.058,0.34,-0.385,-0.234,-0.195,0.529945237
R_caudalanteriorcingulate,-0.267275808,-0.095444421,-0.152,-0.038,-0.063,-0.08,-0.07,-0.035,0.014,0.14,-0.279,-0.102,0.09,0.249485484
R_caudalmiddlefrontal,-0.415378548,-0.344541463,-0.317,-0.079,-0.208,0.006,-0.12,-0.048,-0.307,0.37,-0.379,-0.248,-0.186,0.646013307
R_cuneus,-0.063603604,-0.270926283,-0.226,-0.033,-0.029,0.049,-0.05,-0.147,-0.204,0.31,-0.415,-0.169,-0.145,0.487507465
R_entorhinal,-0.047383383,-0.1009611,-0.15,0.014,-0.084,-0.055,-0.06,-0.136,-0.161,0.02,0.024,-0.002,-0.212,0.228191116
R_fusiform,-0.322225642,-0.391726542,-0.536,-0.089,-0.267,-0.116,-0.11,-0.167,-0.116,0.32,-0.367,-0.2,-0.235,0.614484457
R_inferiorparietal,-0.409278176,-0.330250683,-0.348,-0.14,-0.258,-0.041,-0.11,-0.255,-0.171,0.48,-0.52,-0.235,-0.255,0.748454062
R_inferiortemporal,-0.269841126,-0.232503781,-0.439,-0.059,-0.189,-0.117,-0.15,-0.187,-0.072,0.23,-0.32,-0.121,-0.153,0.568141836
R_isthmuscingulate,-0.170393667,-0.316588102,-0.308,-0.052,-0.183,-0.071,-0.06,-0.209,0.009,0.33,-0.372,-0.24,-0.11,0.300305331
R_lateraloccipital,-0.175106318,-0.307263578,-0.342,-0.072,-0.219,0.005,-0.16,-0.2,-0.199,0.28,-0.382,-0.109,-0.254,0.675185894
R_lateralorbitofrontal,-0.135429735,-0.217926782,-0.358,-0.108,-0.207,-0.12,-0.09,-0.193,-0.109,0.36,-0.447,-0.207,-0.017,0.542249928
R_lingual,-0.259208183,-0.227640099,-0.386,-0.044,-0.197,-0.012,-0.01,-0.128,-0.162,0.38,-0.426,-0.223,-0.192,0.542687874
R_medialorbitofrontal,-0.278516808,-0.136200434,-0.244,-0.102,-0.23,-0.131,-0.11,-0.09,-0.053,0.3,-0.426,-0.177,0.032,0.3953389
R_middletemporal,-0.31731337,-0.206350167,-0.379,-0.098,-0.219,-0.088,-0.18,-0.18,-0.124,0.37,-0.403,-0.213,-0.168,0.635469752
R_parahippocampal,-0.199274806,-0.137586376,-0.285,-0.08,-0.086,-0.061,-0.07,-0.129,-0.094,0.13,-0.183,-0.11,-0.127,0.286185654
R_paracentral,-0.41659987,-0.415286811,-0.216,0.009,-0.14,-0.006,-0.11,-0.066,-0.315,0.37,-0.411,-0.229,-0.227,0.617871882
R_parsopercularis,-0.406407151,-0.115025853,-0.424,-0.062,-0.248,-0.017,-0.07,-0.032,-0.177,0.44,-0.411,-0.315,-0.113,0.59804544
R_parsorbitalis,-0.177255582,-0.11059793,-0.339,-0.069,-0.241,-0.07,0,-0.103,-0.141,0.29,-0.342,-0.193,-0.054,0.472461906
R_parstriangularis,-0.342405091,-0.155199169,-0.373,-0.056,-0.231,-0.031,-0.05,-0.033,-0.199,0.44,-0.442,-0.304,-0.078,0.576651007
R_pericalcarine,-0.035295661,-0.122998802,-0.086,0.025,0.015,0.081,0.05,-0.086,-0.13,0.17,-0.269,-0.155,-0.125,0.371122978
R_postcentral,-0.287479804,-0.17206303,-0.281,0.036,-0.075,0.028,-0.12,-0.141,-0.116,0.36,-0.39,-0.221,-0.245,0.55874193
R_posteriorcingulate,-0.311685307,-0.377406453,-0.31,-0.057,-0.166,-0.093,-0.13,-0.202,-0.07,0.4,-0.462,-0.224,-0.058,0.408778369
R_precentral,-0.293382726,-0.357555724,-0.317,-0.037,-0.179,-0.022,-0.13,-0.061,-0.399,0.4,-0.292,-0.278,-0.304,0.580412216
R_precuneus,-0.40197992,-0.393663874,-0.304,-0.101,-0.188,0.005,-0.15,-0.248,-0.275,0.5,-0.532,-0.258,-0.307,0.737949521
R_rostralanteriorcingulate,0.004733759,-0.07981795,-0.12,0.005,-0.087,-0.098,-0.08,-0.016,0.093,0.18,-0.294,-0.142,0.104,0.280356709
R_rostralmiddlefrontal,-0.298457298,-0.200188484,-0.313,-0.091,-0.264,-0.038,-0.12,-0.068,-0.197,0.4,-0.482,-0.213,-0.023,0.646150103
R_superiorfrontal,-0.497672167,-0.441336749,-0.397,-0.038,-0.256,-0.078,-0.09,-0.147,-0.269,0.5,-0.487,-0.294,-0.189,0.694336845
R_superiorparietal,-0.26720613,-0.353845582,-0.219,-0.047,-0.158,0.032,-0.12,-0.241,-0.313,0.39,-0.475,-0.167,-0.239,0.693903959
R_superiortemporal,-0.332004613,-0.257645602,-0.438,0.014,-0.194,-0.031,-0.15,-0.113,-0.123,0.41,-0.341,-0.29,-0.357,0.670406686
R_supramarginal,-0.177874943,-0.265564323,-0.386,0.003,-0.184,-0.053,-0.1,-0.193,-0.223,0.48,-0.483,-0.281,-0.277,0.744283829
R_frontalpole,-0.175272452,-0.069097052,-0.207,0.021,-0.102,-0.062,-0.08,-0.107,-0.109,0.17,-0.263,-0.111,-0.025,0.332102298
R_temporalpole,-0.04143621,-0.187601435,-0.236,0.015,-0.059,0.013,-0.08,-0.119,-0.181,0.03,0.077,-0.02,-0.208,0.324553236
R_transversetemporal,0.053198487,-0.111352847,-0.262,-0.024,-0.109,-0.051,-0.11,-0.1,-0.182,0.28,-0.285,-0.196,-0.157,0.466962516
R_insula,-0.134484413,-0.268106205,-0.406,-0.065,-0.168,-0.115,-0.16,-0.095,-0.022,0.38,-0.371,-0.26,-0.199,0.488790388
