GeneSymbol	CellType	Allen.Average.donor.correlation.to.median	Allen.vs.Brainspan.correlation
AP1S1	CA1.Pyramidal	0.628186633891093	0.75344502
AP1S2	NA	0.537797567707435	0.58476755
AP2A2	NA	0.537243042378242	0.52145128
AP2B1	NA	0.589101043643264	0.8252767
APAF1	Microglia	0.569752314415502	0.70079357
APBA1	Interneuron	0.718327008222644	0.76788012
APBB1IP	NA	0.67026587027773	0.58359705
APCDD1	Endothelial	0.488991432350066	0.60888301
APLN	NA	0.627700031625553	0.64899824
APLNR	Endothelial	0.612024897935714	0.64942071
APOBEC3G	NA	0.517375725950204	0.65760224
APOE	NA	0.567359194410902	0.63668771
APOL2	NA	0.775377350353631	0.74050441
AQP1	NA	0.537140259329538	0.56516738
AQP4	NA	0.614621068368697	0.79796792
AQP9	NA	0.57778843942269	0.76658804
AQR	NA	0.500620651486401	0.54232256
AR	CA1.Pyramidal	0.791431271922259	0.8606093
ARHGAP10	Mural	0.587612486343511	0.81211861
ARHGAP18	NA	0.713401687654534	0.63366414
ARHGAP25	NA	0.856062402967052	0.54236208
ARHGAP26	NA	0.646654519579093	0.55253868
ARHGAP28	NA	0.817777873612788	0.8343007
ARHGAP29	NA	0.525153815191766	0.80033338
ARHGAP6	NA	0.829083649588868	0.69245533
ARHGAP9	NA	0.855478408372147	0.70756689
ARHGDIB	NA	0.583239534816859	0.57048052
ARHGDIG	NA	0.693641826231959	0.66237005
ARHGEF10L	Astrocyte	0.614731398424472	0.64695946
ARHGEF11	NA	0.764724570179978	0.56304844
ARID3B	Mural	0.55853889943074	0.70874834
ARIH2	NA	0.577481527801737	0.65491358
ARL10	NA	0.64647339140935	0.85686956
ARL15	CA1.Pyramidal	0.739071933758841	0.69793841
ARL2BP	NA	0.664895995054913	0.57844437
ARL4C	NA	0.695275573572537	0.62559129
ARL8B	NA	0.540281251796906	0.61312288
ARMC2	NA	0.509635371744006	0.57108165
ARMCX1	NA	0.703941693979645	0.676292
ARMCX2	Interneuron	0.704649675119315	0.55347405
ARMCX4	Interneuron	0.460753047553332	0.80048874
ARNTL	NA	0.559757202001035	0.64568754
ARPP19	S1.Pyramidal	0.644149272612271	0.89323591
ARRB1	Interneuron	0.536309369788971	0.7333783
ARRB2	Microglia	0.581436518889081	0.57158405
ARSJ	CA1.Pyramidal	0.501013814616756	0.56236707
AS3MT	NA	0.692883172330516	0.71587539
ASAH1	NA	0.507052139037433	0.54043525
ASAP2	CA1.Pyramidal	0.574840794088897	0.66706091
ASAP3	NA	0.457743229256512	0.6445966
ASB1	NA	0.643623138404922	0.77177815
ASB13	NA	0.892324693807142	0.92307216
ASB2	Mural	0.828646641941234	0.7777974
ASNS	NA	0.508053375309068	0.55851057
ASPHD2	CA1.Pyramidal	0.558199284112472	0.56901624
ASPSCR1	NA	0.594036067506181	0.56995437
ATAD2	NA	0.487390029325513	0.60100928
ATAD5	NA	0.467323975044563	0.52964778
ATG16L1	NA	0.738149042608246	0.52707887
ATG4A	NA	0.515155827726985	0.56641672
ATG4D	NA	0.698503895693175	0.75310605
ATOH7	NA	0.839551707779886	0.80657566
ATP10A	NA	0.650737809786671	0.53237438
ATP1A1	S1.Pyramidal	0.673502382194037	0.70416573
ATP1B3	Oligodendrocyte	0.628939701138988	0.74420618
ATP2A2	S1.Pyramidal	0.726671122994652	0.83889707
ATP2B2	S1.Pyramidal	0.857457880512909	0.91116954
ATP2B3	NA	0.843922503018803	0.88574793
ATP2B4	NA	0.898300126502214	0.95462542
ATP4A	NA	0.752728422747398	0.7157042
ATP6V0E1	NA	0.493500230004025	0.54517498
ATP6V0E2	NA	0.47299357426255	0.56444921
ATP6V1C2	NA	0.624137125524697	0.62224024
ATP8B2	NA	0.590917356678742	0.76073224
ATP8B4	NA	0.592974814559255	0.52598767
AUTS2	NA	0.51998770915991	0.75702574
AVPI1	NA	0.725542665746651	0.76149973
AXL	NA	0.516341785981255	0.71627019
B3GALNT1	NA	0.754459562417342	0.71957824
B3GALTL	Astrocyte	0.485761313322983	0.81616636
B3GNT5	NA	0.515549709619918	0.53470301
B4GALT2	S1.Pyramidal	0.662938445172791	0.85934595
BACE2	Ependymal	0.547183888218044	0.80446288
BACH2	NA	0.513370780863665	0.57317027
BAI2	NA	0.463578143867518	0.63821786
BAI3	NA	0.580523690414582	0.52346328
BAIAP3	Interneuron	0.885921956759243	0.96437172
BAK1	NA	0.512724972687022	0.74735243
BBS7	NA	0.794873066528664	0.56808733
BCAN	NA	0.491312316715542	0.54867599
BCAT1	Interneuron	0.659604464953137	0.80784625
BCKDK	NA	0.652114240124202	0.62934931
BCL11A	NA	0.81938826116957	0.62842109
BCL11B	NA	0.774212595595423	0.75918796
BCL2A1	Microglia	0.63915027887988	0.62249275
BCL3	NA	0.640819245586798	0.66660954
BCL6	NA	0.533965485020988	0.63308171
BCL7C	NA	0.691866482663447	0.78830023
BCO2	NA	0.702638577425105	0.69581025
BCR	CA1.Pyramidal	0.724923092404117	0.63375146
BEGAIN	NA	0.499970171352999	0.6408117
BEND5	NA	0.814970027600483	0.59397194
BEND6	NA	0.800317693059629	0.89009251
BEND7	NA	0.727042723247657	0.71176878
BHLHE22	CA1.Pyramidal	0.834306178483123	0.83770961
BHLHE40	NA	0.817267911563452	0.76278757
BHLHE41	NA	0.581494019895348	0.60439575
BMP3	Interneuron	0.644438933931344	0.7572805
BMP4	NA	0.830664567879938	0.86487887
BMP5	Mural	0.447426829969524	0.69308571
BMP8A	NA	0.560584857109999	0.7769775
BPHL	Ependymal	0.756451253521937	0.59889414
BRD1	NA	0.472304999712495	0.52981494
BRD2	NA	0.583099376114082	0.54975037
BRMS1L	NA	0.640236688517049	0.70773885
BRP44	NA	0.582937295152665	0.63383587
BRP44L	NA	0.707620680236904	0.56750477
BTG3	NA	0.804415358518774	0.72109691
BTNL2	NA	0.476392602495544	0.67505748
BTRC	NA	0.505558909780921	0.66527165
BZRAP1	NA	0.767421367373929	0.7499742
C10orf10	Endothelial	0.468154505203841	0.89839637
C10orf116	NA	0.766976812719223	0.59926592
C11orf24	NA	0.660300586510264	0.61075061
C11orf30	NA	0.631571646253809	0.8522358
C11orf48	NA	0.536907380254154	0.52586445
C11orf75	NA	0.599276206083607	0.64867788
C11orf84	NA	0.463118135817377	0.59091242
C12orf10	NA	0.556800931516302	0.84763281
C12orf23	NA	0.771276091081594	0.55768807
C12orf5	NA	0.691329207636134	0.52721334
C12orf57	NA	0.508436475763326	0.70588436
C13orf33	NA	0.836586093381634	0.59550827
C14orf132	NA	0.666568914956012	0.7093396
C15orf41	NA	0.595848067966189	0.72958999
C16orf45	NA	0.658561540451958	0.53117878
C17orf75	NA	0.711312244839285	0.54680745
C18orf1	NA	0.498111091944109	0.68509192
C18orf25	NA	0.678408731527802	0.65554872
C18orf34	NA	0.498544146397562	0.58775576
C19orf43	NA	0.522414970386982	0.66042032
C19orf70	NA	0.579213745615548	0.61414714
C1orf173	NA	0.659701857282503	0.53817635
C1orf187	NA	0.821799709619918	0.65806468
C1orf201	NA	0.760269320338106	0.5391127
C1orf228	NA	0.570312230464033	0.64259837
C1orf54	Endothelial	0.462063711114945	0.56952659
C1orf64	NA	0.594852941176471	0.52626702
C1orf95	NA	0.889780993042378	0.90717937
C1QL1	Interneuron	0.825982907825887	0.57138241
C1QTNF1	NA	0.704870694612156	0.64043185
C1R	Mural	0.783909780921166	0.90831236
C1RL	NA	0.817638793053878	0.73618206
C1S	Mural	0.761979615893278	0.73744905
C22orf25	NA	0.592992783623713	0.58943967
C2orf55	NA	0.549530648036341	0.79192206
C2orf65	NA	0.601617575182566	0.83541472
C2orf69	NA	0.57853128054741	0.66481738
C3orf52	NA	0.480253795066414	0.65497135
C3orf58	NA	0.692296302685297	0.54032636
C4orf21	NA	0.454959821171871	0.57498499
C4orf33	NA	0.714856103731815	0.53056017
C5	NA	0.539018745328043	0.74096801
C5orf24	NA	0.517155065838652	0.6855186
C5orf45	NA	0.508764691646161	0.55040808
C6orf106	NA	0.673535880627911	0.62781211
C6orf211	NA	0.692965470645736	0.81055943
C6orf47	NA	0.577778017365304	0.61726105
C7orf23	NA	0.536733799091484	0.83831648
C8orf46	NA	0.598635429245012	0.94077616
C9orf91	Oligodendrocyte	0.722858446897821	0.77787267
C9orf96	NA	0.494204976712092	0.63458951
CA10	S1.Pyramidal	0.767464852509919	0.84286807
CA11	NA	0.63248770915991	0.7403656
CA12	Ependymal	0.659960971191996	0.56241436
CA7	NA	0.688568081191421	0.87419777
CAB39	NA	0.591046733942844	0.62132434
CABP1	NA	0.869057271002243	0.8421795
CABP7	NA	0.665154390201829	0.61404417
CACHD1	NA	0.713407437755161	0.69871022
CACNA1C	NA	0.538510580185153	0.72859199
CACNA1D	NA	0.567979486516014	0.64358508
CACNA1E	CA1.Pyramidal	0.475574650681387	0.53654355
CACNA1H	NA	0.744602811799206	0.93823998
CACNA1S	NA	0.564593036628141	0.68559297
CACNA2D2	NA	0.786082600195503	0.73530733
CACNB2	NA	0.482675665574148	0.63682523
CACNB4	NA	0.747750991892358	0.74342028
CACNG1	NA	0.587736113506986	0.54035605
CACNG2	NA	0.731865979529642	0.69890679
CACNG3	NA	0.735083160830314	0.77876276
CACNG7	NA	0.492690543959519	0.53853036
CADM1	NA	0.729233152205164	0.83519587
CADPS2	NA	0.893295382669197	0.93261013
CALB1	NA	0.831689163935369	0.76593191
CALB2	Interneuron	0.821547423954919	0.81936213
CALCOCO1	NA	0.570624532804324	0.75513456
CALCR	NA	0.580841024092922	0.54767112
CALN1	NA	0.755724943936519	0.63923851
CAMK1D	NA	0.650614182623196	0.53766929
CAMK1G	NA	0.656191420849865	0.61163835
CAMK2B	NA	0.520668017940314	0.66284138
CAMK2D	Interneuron	0.884103128054741	0.92970854
CAMK2G	NA	0.864280374906561	0.73134213
CAMK4	NA	0.720016100281755	0.76711649
CAMKK1	NA	0.54256440112702	0.6352615
CAMKV	NA	0.826580558909781	0.79684599
CAMTA1	NA	0.65213256856995	0.85423259
CAP1	NA	0.759445977804612	0.67765342
CAPN1	NA	0.54715945029038	0.65225595
CARTPT	NA	0.885394385026738	0.8632578
CASC1	Ependymal	0.449498663101604	0.76658852
CASK	NA	0.784411117819562	0.60718082
CASP3	NA	0.582862184463228	0.65746374
CBFB	NA	0.547557285377494	0.69084779
CBLN1	NA	0.684215973779541	0.78169948
CBLN2	NA	0.852894097521707	0.94450388
CBLN4	NA	0.596995931803807	0.78689728
CBR4	NA	0.45725339255937	0.60992664
CBS	NA	0.550353631188546	0.84439847
CCBE1	NA	0.764033839342188	0.79338893
CCDC102A	NA	0.534488025415445	0.58785752
CCDC109B	CA1.Pyramidal	0.872336984647231	0.76102254
CCDC110	NA	0.69264669944224	0.6257648
CCDC112	CA1.Pyramidal	0.661197961589328	0.64321312
CCDC126	NA	0.522301765280892	0.65220766
CCDC136	NA	0.611328416997297	0.60537554
CCDC138	NA	0.487995946179058	0.72423005
CCDC146	Ependymal	0.569612515094014	0.73918608
CCDC148	Ependymal	0.719257805761601	0.64312869
CCDC28A	NA	0.596516157782761	0.72267253
CCDC3	NA	0.6197922057386	0.78294185
CCDC40	Ependymal	0.618578215743775	0.70733886
CCDC41	NA	0.679978868380197	0.72782612
CCDC47	NA	0.577621327123225	0.53144469
CCDC68	NA	0.755465111264447	0.81714667
CCDC69	NA	0.556575240066701	0.67629038
CCDC80	NA	0.54172596457938	0.59457836
CCDC90A	NA	0.602170303605313	0.5612536
CCIN	NA	0.572123512161463	0.61761525
CCK	NA	0.688602581795181	0.56974475
CCKBR	S1.Pyramidal	0.594051520901616	0.73556299
CCL1	NA	0.591218518199068	0.68407438
CCL28	NA	0.726391883732965	0.69610079
CCNA1	NA	0.58910715312518	0.73169661
CCNB1IP1	NA	0.609123612788224	0.81122472
CCND2	NA	0.452085130239779	0.5306274
CCNE1	NA	0.661741346098557	0.52712524
CCNI	NA	0.798839917198551	0.65889618
CCNO	Ependymal	0.650147346328561	0.6113341
CCNY	NA	0.518585762750848	0.67268426
CCPG1	NA	0.460821689379564	0.65700383
CCR10	NA	0.580946322810649	0.6770446
CD24	NA	0.838187855787476	0.80859003
CD53	Microglia	0.749529210511184	0.7912239
CD59	Endothelial	0.50007798573975	0.57585524
CD6	NA	0.885761313322983	0.8349321
CD63	NA	0.696041774481054	0.83530623
CD86	Microglia	0.539464018745328	0.53229934
CD99L2	NA	0.706388361796331	0.84804047
CDADC1	NA	0.528174414927261	0.73163424
CDC42SE2	NA	0.654210870565235	0.9401643
CDC6	NA	0.650800342130987	0.53781541
CDCA5	NA	0.605713084353976	0.62337384
CDH10	NA	0.645176743718015	0.85508865
CDH11	NA	0.657927232476568	0.78005955
CDH12	NA	0.814720976367087	0.81949005
CDH13	NA	0.808432163187856	0.52785754
CDH4	NA	0.792335834627106	0.81902725
CDH6	NA	0.616675291817607	0.61798347
CDH7	Interneuron	0.85075577885113	0.87635463
CDH8	NA	0.774674041170721	0.94673771
CDH9	NA	0.727598686102007	0.94655286
CDK2AP1	NA	0.606354742066511	0.56769933
CDK5	NA	0.448587990914841	0.79696562
CDK5RAP2	NA	0.446078431372549	0.52624872
CDKN1B	NA	0.573584756483238	0.78435504
CDR2L	Oligodendrocyte	0.827897691334598	0.84871432
CDS1	CA1.Pyramidal	0.828608188143293	0.83301563
CDYL	NA	0.582540178828129	0.61724301
CELF3	NA	0.675775185440745	0.87596727
CELSR2	CA1.Pyramidal	0.544892832499569	0.59403518
CEND1	NA	0.659604105571847	0.89406445
CENPF	Microglia	0.762959648668852	0.5758478
CENPJ	NA	0.750969610718188	0.66681684
CEP192	NA	0.553033896843195	0.63539972
CEP57	NA	0.625024078546375	0.73736705
CEP95	NA	0.611608375021563	0.61985932
CEP97	Oligodendrocyte	0.483199284112472	0.61087695
CERK	NA	0.785352696797194	0.94315204
CETN2	Ependymal	0.647093324133172	0.56292748
CFL2	Oligodendrocyte	0.574160125927204	0.80553488
CHAC1	NA	0.485679374389052	0.76231405
CHCHD6	NA	0.783692355241217	0.63661937
CHD3	CA1.Pyramidal	0.649422833649589	0.82870652
CHGA	NA	0.894812690472083	0.69977274
CHL1	NA	0.473793197630958	0.87936829
CHML	NA	0.708280863665114	0.62555928
CHMP1A	NA	0.732176125582198	0.71531305
CHN1	NA	0.647782976827095	0.58649355
CHPF	NA	0.493301132769824	0.52455148
CHRD	CA1.Pyramidal	0.708693433385084	0.74315241
CHRDL1	Astrocyte	0.457085920878615	0.91806772
CHRM2	NA	0.689195920303605	0.72530518
CHRNA2	NA	0.653486357886263	0.53746849
CHRNA4	NA	0.552354666206659	0.62314168
CHRNB3	NA	0.654632424817434	0.64389591
CHST10	NA	0.58432055373469	0.7533419
CHSY3	NA	0.55389173998045	0.87028623
CIDEA	Interneuron	0.745279526766719	0.61117598
CIT	NA	0.743948378471623	0.84846993
CITED2	NA	0.722721882007935	0.69316886
CITED4	NA	0.554692800874015	0.64511368
CKAP2	NA	0.550882281064919	0.57146927
CLCNKB	CA1.Pyramidal	0.446731427174976	0.68847668
CLDN1	Ependymal	0.481786915646024	0.64896655
CLDN5	Endothelial	0.535311727330228	0.56184635
CLEC4G	NA	0.795818239319188	0.68084576
CLGN	Oligodendrocyte	0.756483957219251	0.72919559
CLIC6	NA	0.577388088666552	0.68811629
CLINT1	NA	0.521139526191708	0.77550558
CLIP3	NA	0.476157567132425	0.55915101
CLIP4	NA	0.560076691967109	0.53240805
CLN6	NA	0.449419958599275	0.7644913
CLNS1A	NA	0.502279914898511	0.70258748
CMAS	NA	0.682666681041918	0.81376108
CMTM1	NA	0.596796834569605	0.59362743
CMTM3	NA	0.544937755160715	0.66209812
CMTM4	Ependymal	0.634716591915359	0.86371963
CMTM8	Endothelial	0.80291026967972	0.67622653
CMYA5	NA	0.814786743143005	0.91470606
CNDP1	NA	0.507949154735208	0.60211248
CNIH3	NA	0.560098614225749	0.5788685
CNN3	Ependymal	0.700632151687655	0.6825029
CNNM1	NA	0.787536297510206	0.62700525
CNNM2	NA	0.645848427347479	0.52312986
CNR1	Interneuron	0.819294462653096	0.89962946
CNTN1	NA	0.624962983727215	0.65567398
CNTN4	NA	0.502530763038353	0.67640255
CNTN5	Interneuron	0.687830990167328	0.8721011
CNTN6	NA	0.90043413259732	0.77099847
CNTNAP5	S1.Pyramidal	0.763378687252027	0.83812422
COASY	NA	0.533836467138175	0.66838043
COBLL1	NA	0.629216620665862	0.61688311
COCH	NA	0.835597076073831	0.8734069
COG1	NA	0.726447228451498	0.83621286
COL10A1	NA	0.596425953079179	0.75535083
COL13A1	NA	0.77443109941924	0.60202434
COL19A1	Interneuron	0.624447630958542	0.53338872
COL20A1	NA	0.583840779713645	0.52210777
COL21A1	NA	0.734540135702375	0.63859948
COL24A1	NA	0.598011543327008	0.53142093
COL4A3BP	NA	0.446678957506756	0.73599297
COL5A1	S1.Pyramidal	0.861779440515209	0.61717161
COL5A2	Ependymal	0.824525976079581	0.58295568
COL9A1	Ependymal	0.492634121097119	0.52971927
COMMD9	Oligodendrocyte	0.463269075958829	0.65738099
COMT	NA	0.502521778506124	0.60159802
COPA	NA	0.534564573630039	0.71284748
CORO1A	NA	0.716281769305963	0.74250967
CORO1B	NA	0.465011356448738	0.68446549
CORO6	NA	0.800136205508596	0.54772474
CORO7	NA	0.686624187798286	0.83166641
COX10	NA	0.496893148755103	0.72188126
COX7A1	Ependymal	0.736294635156115	0.53265907
CPLX1	NA	0.865848355471221	0.9069965
CPLX2	NA	0.726195302167788	0.86678422
CPLX3	NA	0.897705709849922	0.64345329
CPNE3	NA	0.526189552067161	0.56642256
CPNE4	NA	0.606189983324708	0.61893812
CPNE5	NA	0.659104206198608	0.72207722
CPNE6	CA1.Pyramidal	0.923205609223161	0.86028022
CPNE7	NA	0.888156230234029	0.88630514
CPNE9	S1.Pyramidal	0.736984287850037	0.72564124
CPPED1	NA	0.489984043470761	0.68673243
CPSF1	NA	0.721440328330746	0.77661128
CPSF4	NA	0.597877853487436	0.578931
CPT1A	NA	0.498514317750561	0.85763764
CPVL	NA	0.614709835547122	0.63229899
CPXM2	NA	0.740416738542924	0.56023565
CRB1	NA	0.492070970616986	0.70129131
CREB3	NA	0.59517890000575	0.65325278
CREB3L1	NA	0.654698191593353	0.64340069
CRELD2	NA	0.509758639526192	0.79415908
CREM	NA	0.75839981887183	0.53357527
CRH	NA	0.683145376919096	0.54972006
CRHBP	Interneuron	0.661376574090047	0.59588946
CRHR2	NA	0.722174544304525	0.94343684
CRIM1	NA	0.535506871370249	0.69541535
CRIP2	NA	0.764300140877465	0.85126253
CRIP3	NA	0.526601043643264	0.61165871
CRIPAK	NA	0.537075930078776	0.56470471
CRLF1	NA	0.703946725317693	0.73129758
CRLS1	NA	0.532851689621954	0.70072838
CRMP1	NA	0.681366798918981	0.55176547
CROT	NA	0.633111235696625	0.8432314
CRTAC1	NA	0.743527542982002	0.726054
CRY2	Astrocyte	0.485457636133632	0.69449645
CRYGN	Ependymal	0.698590147202576	0.54706363
CRYM	CA1.Pyramidal	0.679415717900063	0.71880453
CS	NA	0.647760695187166	0.59684686
CSDC2	NA	0.699497225576448	0.81656001
CSF1R	Microglia	0.596839241561727	0.62954879
CSMD3	NA	0.544639109309413	0.55233316
CSN1S1	NA	0.760755922603646	0.83348455
CSPG5	Astrocyte	0.531044074521304	0.74957019
CSTF2T	NA	0.479790193203381	0.52978345
CTNNAL1	NA	0.754715801276522	0.70752709
CTNNBIP1	Astrocyte	0.595167399804497	0.53856439
CTNND2	CA1.Pyramidal	0.659228911505951	0.83260901
CTSA	NA	0.673349002357541	0.71449875
CTSZ	Microglia	0.645509890173078	0.83529783
CTXN1	NA	0.785157552757173	0.8173365
CUL5	NA	0.488613115505898	0.80853793
CUX1	NA	0.727797783336208	0.85441835
CX3CR1	Microglia	0.688080400782014	0.71660157
CXorf1	NA	0.510110833189581	0.56469358
CXorf57	NA	0.788057040998217	0.80673178
CXXC11	NA	0.822491877982865	0.8138267
CXXC4	NA	0.540776479213386	0.73652776
CYB5A	Oligodendrocyte	0.452578560749813	0.54980453
CYB5B	NA	0.601109050658387	0.55748834
CYB5R1	NA	0.681799134609856	0.7110525
CYB5R4	NA	0.543778031740555	0.67304987
CYBB	Microglia	0.666406115232017	0.81241007
CYBRD1	NA	0.542143206256109	0.59225023
CYC1	NA	0.539715945029038	0.71677909
CYP26B1	S1.Pyramidal	0.652330947041573	0.70665511
CYP2C18	NA	0.797043010752688	0.75878714
CYP2E1	NA	0.573076950721638	0.79215758
CYP46A1	NA	0.698911434075096	0.63309385
CYTH4	Microglia	0.64896174745558	0.58025616
CYTL1	NA	0.560948910355931	0.77935825
DAK	NA	0.755834195848427	0.53608927
DAP	NA	0.750375912828474	0.81296374
DAPK3	NA	0.461698220343856	0.81676649
DBC1	NA	0.796246621815882	0.9369191
DBNDD1	NA	0.507324190673337	0.56632091
DCBLD2	NA	0.832827324478178	0.9160611
DCHS2	NA	0.848212437467656	0.88844304
DCLK2	CA1.Pyramidal	0.637769535966879	0.61033745
DCLRE1A	NA	0.640054122822149	0.549162
DCP1A	NA	0.810698421597378	0.84357987
DCPS	Oligodendrocyte	0.588530346156058	0.67366158
DCUN1D2	NA	0.876852251164395	0.92734217
DCUN1D3	Endothelial	0.536776206083606	0.57790037
DDAH1	NA	0.73822450274819	0.65648501
DDAH2	NA	0.773352236789144	0.8733279
DDB2	NA	0.452260508308895	0.55508541
DDR2	NA	0.566861451325398	0.57859065
DDX19B	NA	0.46087990914841	0.73384084
DEFB1	NA	0.518471479500891	0.56558884
DENND1A	NA	0.486903427059974	0.71180738
DENND1B	Microglia	0.644352323040653	0.53458838
DENND4B	NA	0.513137542406992	0.81875182
DENND4C	NA	0.473456457363004	0.62809323
DERL2	NA	0.515829308262895	0.56904497
DEXI	NA	0.822109136909896	0.8031764
DFFB	NA	0.478860473808292	0.66666448
DGKB	NA	0.569607124374677	0.88606856
DGKG	NA	0.741005764475878	0.8291072
DGKI	NA	0.488429719395089	0.53562438
DHDDS	NA	0.482350425507446	0.5492378
DHX35	NA	0.705713443735265	0.5382728
DIAPH2	NA	0.75000862515094	0.76961315
DIO2	NA	0.579802412167213	0.75897059
DIRAS3	NA	0.809966002530044	0.80365205
DIS3L2	NA	0.47249834684607	0.60166921
DLC1	NA	0.545661908458398	0.60582476
